numeroTelefono;creditoResiduo
+39320000328;71,26
+39320000330;152,77
+39320000332;171,49
+39320000334;176,90
+39320000336;108,36
+39320000338;146,86
+39320000340;227,41
+39320000342;167,28
+39320000344;135,84
+39320000346;111,89
+39320000348;235,91
+39320000350;139,90
+39320000352;52,81
+39320000354;70,83
+39320000356;129,93
+39320000358;193,23
+39320000360;101,05
+39320000362;220,17
+39320000364;184,79
+39320000366;58,15
+39320000368;174,84
+39320000370;73,49
+39320000372;108,74
+39320000374;69,52
+39320000376;204,04
+39320000378;68,70
+39320000380;64,41
+39320000382;139,70
+39320000384;191,25
+39320000386;149,82
+39320000388;101,62
+39320000390;148,47
+39320000392;81,82
+39320000394;170,77
+39320000396;118,59
+39320000398;68,16
+39320000400;42,19
+39320000402;131,62
+39320000404;22,08
+39320000406;96,01
+39320000408;54,31
+39320000410;154,15
+39320000412;62,33
+39320000414;82,57
+39320000416;100,84
+39320000418;36,04
+39320000420;69,79
+39320000422;156,65
+39320000424;189,75
+39320000426;234,69
+39320000428;67,07
+39320000430;97,15
+39320000432;166,92
+39320000434;15,97
+39320000436;165,32
+39320000438;45,52
+39320000440;144,13
+39320000442;60,75
+39320000444;157,54
+39320000446;34,10
+39320000448;140,05
+39320000450;46,43
+39320000452;56,64
+39320000454;57,60
+39320000456;139,50
+39320000458;13,31
+39320000460;168,87
+39320000462;50,94
+39320000464;122,98
+39320000466;176,71
+39320000468;240,92
+39320000470;125,36
+39320000472;232,06
+39320000474;81,96
+39320000476;171,62
+39320000478;168,94
+39320000480;165,65
+39320000482;204,86
+39320000484;206,42
+39320000486;125,60
+39320000488;169,25
+39320000490;221,67
+39320000492;16,78
+39320000494;229,14
+39320000496;187,15
+39320000498;106,09
+39320000500;63,86
+39320000502;65,99
+39320000504;228,87
+39320000506;116,72
+39320000508;102,77
+39320000510;240,53
+39320000512;48,22
+39320000514;199,91
+39320000516;10,58
+39320000518;37,73
+39320000520;127,53
+39320000522;62,52
+39320000524;24,94
+39320000526;34,32
+39320000528;81,45
+39320000530;143,61
+39320000532;242,75
+39320000534;167,67
+39320000536;5,43
+39320000538;102,21
+39320000540;25,32
+39320000542;79,15
+39320000544;79,88
+39320000546;21,90
+39320000548;247,22
+39320000550;208,24
+39320000552;140,66
+39320000554;224,76
+39320000556;177,55
+39320000558;46,54
+39320000560;167,90
+39320000562;179,17
+39320000564;32,21
+39320000566;136,99
+39320000568;100,55
+39320000570;153,90
+39320000572;184,17
+39320000574;10,80
+39320000576;37,78
+39320000578;20,38
+39320000580;87,39
+39320000582;194,63
+39320000584;145,09
+39320000586;90,46
+39320000588;5,23
+39320000590;118,27
+39320000592;45,05
+39320000594;155,11
+39320000596;239,37
+39320000598;53,89
+39320000600;205,41
+39320000602;78,03
+39320000604;156,88
+39320000606;182,89
+39320000608;91,57
+39320000610;10,04
+39320000612;2,71
+39320000614;224,28
+39320000616;27,18
+39320000618;146,92
+39320000620;84,79
+39320000622;205,78
+39320000624;70,63
+39320000626;59,80
+39320000628;10,93
+39320000630;20,67
+39320000632;110,87
+39320000634;199,96
+39320000636;103,44
+39320000638;87,85
+39320000640;43,88
+39320000642;100,43
+39320000644;242,01
+39320000646;127,55
+39320000648;190,71
+39320000650;113,42
+39320000652;84,59
+39320000654;114,23
+39320000656;223,56
+39320000658;60,49
+39320000660;222,91
+39320000662;35,99
+39320000664;78,52
+39320000666;1,93
+39320000668;225,86
+39320000670;230,83
+39320000672;121,86
+39320000674;144,76
+39320000676;115,59
+39320000678;193,15
+39320000680;20,81
+39320000682;22,83
+39320000684;113,41
+39320000686;149,71
+39320000688;242,96
+39320000690;199,86
+39320000692;143,59
+39320000694;190,06
+39320000696;4,17
+39320000698;68,16
+39320000700;183,52
+39320000702;79,92
+39320000704;217,72
+39320000706;82,71
+39320000708;224,10
+39320000710;74,20
+39320000712;215,17
+39320000714;132,00
+39320000716;36,98
+39320000718;98,99
+39320000720;103,07
+39320000722;196,03
+39320000724;232,21
+39320000726;184,80
+39320000728;6,14
+39320000730;8,63
+39320000732;214,05
+39320000734;226,48
+39320000736;177,52
+39320000738;126,11
+39320000740;24,63
+39320000742;55,34
+39320000744;97,84
+39320000746;180,85
+39320000748;245,13
+39320000750;190,99
+39320000752;78,93
+39320000754;193,06
+39320000756;75,66
+39320000758;175,14
+39320000760;0,72
+39320000762;224,93
+39320000764;101,41
+39320000766;58,32
+39320000768;8,25
+39320000770;36,68
+39320000772;2,68
+39320000774;110,21
+39320000776;204,73
+39320000778;175,94
+39320000780;42,40
+39320000782;208,67
+39320000784;215,65
+39320000786;204,94
+39320000788;23,13
+39320000790;210,14
+39320000792;93,53
+39320000794;27,11
+39320000796;151,28
+39320000798;9,20
+39320000800;23,60
+39320000802;241,97
+39320000804;59,74
+39320000806;17,30
+39320000808;171,41
+39320000810;90,77
+39320000812;20,99
+39320000814;151,64
+39320000816;47,30
+39320000818;162,62
+39320000820;147,21
+39320000822;71,88
+39320000824;6,98
+39320000826;178,35
+39320000828;180,67
+39320000830;96,43
+39320000832;179,34
+39320000834;74,00
+39320000836;207,01
+39320000838;142,73
+39320000840;116,77
+39320000842;124,37
+39320000844;216,25
+39320000846;144,14
+39320000848;44,98
+39320000850;117,24
+39320000852;80,08
+39320000854;163,14
+39320000856;45,57
+39320000858;145,24
+39320000860;102,67
+39320000862;244,55
+39320000864;164,41
+39320000866;30,32
+39320000868;128,13
+39320000870;184,88
+39320000872;247,46
+39320000874;109,00
+39320000876;146,91
+39320000878;147,39
+39320000880;0,87
+39320000882;16,81
+39320000884;12,24
+39320000886;248,67
+39320000888;172,57
+39320000890;42,02
+39320000892;86,18
+39320000894;166,74
+39320000896;115,46
+39320000898;212,78
+39320000900;21,16
+39320000902;147,17
+39320000904;174,42
+39320000906;32,36
+39320000908;26,30
+39320000910;106,70
+39320000912;193,23
+39320000914;227,19
+39320000916;108,50
+39320000918;112,40
+39320000920;79,48
+39320000922;90,50
+39320000924;199,54
+39320000926;28,02
+39320000928;204,36
+39320000930;9,23
+39320000932;242,73
+39320000934;100,32
+39320000936;208,48
+39320000938;114,89
+39320000940;182,65
+39320000942;152,45
+39320000944;11,22
+39320000946;89,23
+39320000948;116,74
+39320000950;219,82
+39320000952;131,24
+39320000954;118,22
+39320000956;135,33
+39320000958;32,68
+39320000960;122,52
+39320000962;65,54
+39320000964;235,97
+39320000966;124,78
+39320000968;59,69
+39320000970;232,13
+39320000972;169,52
+39320000974;163,65
+39320000976;54,04
+39320000978;93,21
+39320000980;144,67
+39320000982;187,93
+39320000984;87,67
+39320000986;210,59
+39320000988;50,04
+39320000990;94,99
+39320000992;106,45
+39320000994;30,77
+39320000996;202,46
+39320000998;144,33
+39320001000;105,06
+39320001002;143,80
+39320001004;92,39
+39320001006;9,39
+39320001008;19,08
+39320001010;119,60
+39320001012;9,90
+39320001014;98,33
+39320001016;128,90
+39320001018;195,73
+39320001020;58,04
+39320001022;210,78
+39320001024;105,88
+39320001026;13,32
+39320001028;168,88
+39320001030;239,03
+39320001032;120,01
+39320001034;28,43
+39320001036;39,41
+39320001038;213,62
+39320001040;49,24
+39320001042;30,56
+39320001044;142,65
+39320001046;200,16
+39320001048;144,75
+39320001050;110,12
+39320001052;127,67
+39320001054;226,42
+39320001056;198,30
+39320001058;162,76
+39320001060;180,31
+39320001062;93,38
+39320001064;162,09
+39320001066;81,41
+39320001068;173,18
+39320001070;181,19
+39320001072;19,72
+39320001074;50,96
+39320001076;167,33
+39320001078;75,45
+39320001080;51,60
+39320001082;125,73
+39320001084;19,12
+39320001086;82,61
+39320001088;7,91
+39320001090;35,18
+39320001092;39,48
+39320001094;67,92
+39320001096;183,27
+39320001098;95,13
+39320001100;213,66
+39320001102;160,91
+39320001104;46,61
+39320001106;64,15
+39320001108;144,15
+39320001110;133,96
+39320001112;244,12
+39320001114;134,28
+39320001116;4,14
+39320001118;189,75
+39320001120;193,50
+39320001122;160,80
+39320001124;66,51
+39320001126;15,11
+39320001128;16,86
+39320001130;36,48
+39320001132;194,88
+39320001134;118,49
+39320001136;48,24
+39320001138;210,37
+39320001140;28,68
+39320001142;26,70
+39320001144;199,92
+39320001146;136,42
+39320001148;153,74
+39320001150;223,41
+39320001152;160,38
+39320001154;239,85
+39320001156;146,56
+39320001158;112,07
+39320001160;52,53
+39320001162;199,14
+39320001164;19,39
+39320001166;81,24
+39320001168;9,40
+39320001170;74,89
+39320001172;98,91
+39320001174;23,13
+39320001176;71,57
+39320001178;40,34
+39320001180;75,47
+39320001182;227,15
+39320001184;104,06
+39320001186;0,81
+39320001188;240,38
+39320001190;85,42
+39320001192;198,26
+39320001194;177,30
+39320001196;36,02
+39320001198;142,40
+39320001200;122,55
+39320001202;187,69
+39320001204;166,60
+39320001206;69,05
+39320001208;228,27
+39320001210;231,48
+39320001212;118,07
+39320001214;180,19
+39320001216;104,28
+39320001218;231,58
+39320001220;213,31
+39320001222;12,87
+39320001224;248,80
+39320001226;27,09
+39320001228;84,32
+39320001230;64,94
+39320001232;185,05
+39320001234;228,16
+39320001236;72,77
+39320001238;121,90
+39320001240;16,84
+39320001242;10,40
+39320001244;84,36
+39320001246;166,11
+39320001248;132,20
+39320001250;67,45
+39320001252;54,58
+39320001254;108,69
+39320001256;182,70
+39320001258;35,12
+39320001260;245,13
+39320001262;200,03
+39320001264;82,18
+39320001266;174,16
+39320001268;137,98
+39320001270;161,70
+39320001272;166,75
+39320001274;118,36
+39320001276;141,45
+39320001278;82,30
+39320001280;148,16
+39320001282;21,41
+39320001284;215,70
+39320001286;171,39
+39320001288;70,79
+39320001290;145,72
+39320001292;67,58
+39320001294;72,55
+39320001296;1,71
+39320001298;54,10
+39320001300;240,37
+39320001302;175,82
+39320001304;145,27
+39320001306;30,25
+39320001308;103,05
+39320001310;1,43
+39320001312;207,21
+39320001314;7,63
+39320001316;75,49
+39320001318;38,04
+39320001320;225,54
+39320001322;75,68
+39320001324;108,96
+39320001326;128,37
+39320001328;97,75
+39320001330;156,06
+39320001332;18,53
+39320001334;36,72
+39320001336;234,87
+39320001338;31,16
+39320001340;96,40
+39320001342;81,74
+39320001344;237,91
+39320001346;78,04
+39320001348;173,46
+39320001350;30,94
+39320001352;47,85
+39320001354;179,83
+39320001356;163,66
+39320001358;24,59
+39320001360;129,35
+39320001362;54,43
+39320001364;100,66
+39320001366;191,88
+39320001368;72,45
+39320001370;62,68
+39320001372;243,21
+39320001374;31,35
+39320001376;219,18
+39320001378;98,63
+39320001380;119,15
+39320001382;157,43
+39320001384;2,51
+39320001386;78,28
+39320001388;39,73
+39320001390;105,98
+39320001392;203,39
+39320001394;96,22
+39320001396;193,19
+39320001398;229,68
+39320001400;162,95
+39320001402;233,41
+39320001404;147,51
+39320001406;123,37
+39320001408;227,48
+39320001410;177,08
+39320001412;75,60
+39320001414;175,20
+39320001416;121,70
+39320001418;18,76
+39320001420;162,57
+39320001422;198,37
+39320001424;12,94
+39320001426;208,14
+39320001428;8,95
+39320001430;213,62
+39320001432;171,98
+39320001434;178,67
+39320001436;241,63
+39320001438;70,91
+39320001440;201,08
+39320001442;86,17
+39320001444;108,07
+39320001446;221,34
+39320001448;186,24
+39320001450;247,20
+39320001452;167,73
+39320001454;44,47
+39320001456;188,11
+39320001458;178,33
+39320001460;137,73
+39320001462;46,32
+39320001464;164,39
+39320001466;42,31
+39320001468;144,14
+39320001470;162,03
+39320001472;156,64
+39320001474;137,32
+39320001476;128,99
+39320001478;221,16
+39320001480;68,55
+39320001482;219,10
+39320001484;225,95
+39320001486;193,32
+39320001488;19,77
+39320001490;150,52
+39320001492;58,82
+39320001494;181,37
+39320001496;144,65
+39320001498;168,62
+39320001500;47,79
+39320001502;78,12
+39320001504;179,98
+39320001506;1,71
+39320001508;245,85
+39320001510;0,82
+39320001512;93,74
+39320001514;139,65
+39320001516;141,59
+39320001518;144,47
+39320001520;198,09
+39320001522;49,45
+39320001524;114,02
+39320001526;104,04
+39320001528;31,31
+39320001530;59,42
+39320001532;202,97
+39320001534;89,60
+39320001536;195,29
+39320001538;138,11
+39320001540;69,48
+39320001542;40,72
+39320001544;145,67
+39320001546;25,21
+39320001548;177,00
+39320001550;153,08
+39320001552;73,54
+39320001554;103,37
+39320001556;172,19
+39320001558;230,18
+39320001560;230,96
+39320001562;6,48
+39320001564;124,47
+39320001566;26,81
+39320001568;244,33
+39320001570;57,34
+39320001572;183,53
+39320001574;235,70
+39320001576;183,49
+39320001578;16,22
+39320001580;124,16
+39320001582;35,17
+39320001584;33,58
+39320001586;121,72
+39320001588;196,71
+39320001590;217,09
+39320001592;248,26
+39320001594;220,88
+39320001596;43,12
+39320001598;206,38
+39320001600;34,98
+39320001602;110,34
+39320001604;204,00
+39320001606;181,37
+39320001608;88,33
+39320001610;168,69
+39320001612;212,90
+39320001614;219,33
+39320001616;17,65
+39320001618;110,31
+39320001620;237,00
+39320001622;61,04
+39320001624;222,79
+39320001626;17,58
+39320001628;151,58
+39320001630;59,65
+39320001632;224,42
+39320001634;125,97
+39320001636;243,50
+39320001638;204,10
+39320001640;191,71
+39320001642;222,16
+39320001644;207,63
+39320001646;58,72
+39320001648;23,88
+39320001650;60,86
+39320001652;74,46
+39320001654;178,82
+39320001656;9,36
+39320001658;32,25
+39320001660;38,27
+39320001662;176,61
+39320001664;135,99
+39320001666;11,39
+39320001668;65,45
+39320001670;15,67
+39320001672;137,54
+39320001674;111,40
+39320001676;47,89
+39320001678;70,39
+39320001680;143,49
+39320001682;52,41
+39320001684;240,66
+39320001686;46,93
+39320001688;166,07
+39320001690;53,26
+39320001692;76,70
+39320001694;26,12
+39320001696;90,31
+39320001698;201,20
+39320001700;210,86
+39320001702;16,41
+39320001704;73,07
+39320001706;30,49
+39320001708;91,60
+39320001710;142,81
+39320001712;11,83
+39320001714;189,96
+39320001716;171,16
+39320001718;169,75
+39320001720;240,02
+39320001722;188,76
+39320001724;116,06
+39320001726;21,27
+39320001728;198,73
+39320001730;177,69
+39320001732;222,81
+39320001734;235,24
+39320001736;124,20
+39320001738;226,56
+39320001740;122,78
+39320001742;183,89
+39320001744;216,19
+39320001746;125,03
+39320001748;164,07
+39320001750;197,46
+39320001752;134,26
+39320001754;242,74
+39320001756;153,68
+39320001758;158,97
+39320001760;10,43
+39320001762;119,14
+39320001764;68,73
+39320001766;146,73
+39320001768;85,40
+39320001770;102,47
+39320001772;202,12
+39320001774;161,30
+39320001776;207,07
+39320001778;70,14
+39320001780;138,88
+39320001782;7,66
+39320001784;164,33
+39320001786;181,98
+39320001788;61,99
+39320001790;198,84
+39320001792;219,09
+39320001794;127,50
+39320001796;48,18
+39320001798;26,51
+39320001800;159,39
+39320001802;165,42
+39320001804;35,05
+39320001806;225,13
+39320001808;150,24
+39320001810;145,88
+39320001812;20,29
+39320001814;79,05
+39320001816;235,79
+39320001818;129,14
+39320001820;224,10
+39320001822;35,07
+39320001824;184,72
+39320001826;18,68
+39320001828;49,30
+39320001830;164,18
+39320001832;13,79
+39320001834;89,76
+39320001836;87,06
+39320001838;188,94
+39320001840;79,90
+39320001842;234,24
+39320001844;112,54
+39320001846;177,05
+39320001848;103,29
+39320001850;174,64
+39320001852;218,63
+39320001854;243,01
+39320001856;231,78
+39320001858;161,09
+39320001860;33,86
+39320001862;190,57
+39320001864;185,07
+39320001866;194,91
+39320001868;166,52
+39320001870;5,42
+39320001872;77,59
+39320001874;246,79
+39320001876;73,76
+39320001878;172,02
+39320001880;167,17
+39320001882;173,21
+39320001884;23,69
+39320001886;238,14
+39320001888;137,99
+39320001890;120,87
+39320001892;104,61
+39320001894;37,23
+39320001896;31,52
+39320001898;75,15
+39320001900;14,82
+39320001902;140,74
+39320001904;117,50
+39320001906;201,30
+39320001908;125,52
+39320001910;194,65
+39320001912;60,55
+39320001914;115,81
+39320001916;173,23
+39320001918;73,44
+39320001920;115,90
+39320001922;76,99
+39320001924;164,85
+39320001926;141,57
+39320001928;218,72
+39320001930;223,04
+39320001932;202,82
+39320001934;14,96
+39320001936;159,77
+39320001938;65,20
+39320001940;128,36
+39320001942;200,70
+39320001944;156,08
+39320001946;233,37
+39320001948;35,68
+39320001950;210,37
+39320001952;70,91
+39320001954;70,63
+39320001956;30,30
+39320001958;47,91
+39320001960;127,91
+39320001962;61,27
+39320001964;20,93
+39320001966;230,58
+39320001968;94,74
+39320001970;24,22
+39320001972;41,51
+39320001974;148,67
+39320001976;14,22
+39320001978;67,81
+39320001980;67,70
+39320001982;210,72
+39320001984;222,07
+39320001986;117,25
+39320001988;243,13
+39320001990;82,65
+39320001992;34,52
+39320001994;218,83
+39320001996;38,71
+39320001998;18,26
+39320002000;64,46
+39320002002;16,62
+39320002004;208,99
+39320002006;160,02
+39320002008;94,80
+39320002010;25,62
+39320002012;162,40
+39320002014;13,19
+39320002016;90,12
+39320002018;44,13
+39320002020;77,32
+39320002022;161,68
+39320002024;196,04
+39320002026;163,50
+39320002028;187,07
+39320002030;204,08
+39320002032;66,38
+39320002034;78,99
+39320002036;29,98
+39320002038;27,17
+39320002040;78,17
+39320002042;142,72
+39320002044;77,77
+39320002046;103,27
+39320002048;21,32
+39320002050;212,75
+39320002052;78,65
+39320002054;190,80
+39320002056;133,83
+39320002058;100,37
+39320002060;179,96
+39320002062;92,19
+39320002064;26,62
+39320002066;145,13
+39320002068;77,74
+39320002070;45,74
+39320002072;33,39
+39320002074;138,79
+39320002076;57,50
+39320002078;127,79
+39320002080;51,56
+39320002082;184,20
+39320002084;83,31
+39320002086;42,85
+39320002088;7,56
+39320002090;231,51
+39320002092;79,04
+39320002094;179,02
+39320002096;22,01
+39320002098;220,63
+39320002100;205,32
+39320002102;90,18
+39320002104;228,02
+39320002106;45,21
+39320002108;175,31
+39320002110;122,16
+39320002112;71,32
+39320002114;141,37
+39320002116;198,58
+39320002118;8,48
+39320002120;70,58
+39320002122;12,20
+39320002124;96,63
+39320002126;218,45
+39320002128;97,54
+39320002130;108,60
+39320002132;114,37
+39320002134;200,58
+39320002136;115,66
+39320002138;196,29
+39320002140;87,91
+39320002142;216,34
+39320002144;201,12
+39320002146;145,70
+39320002148;30,32
+39320002150;6,09
+39320002152;214,93
+39320002154;202,46
+39320002156;182,78
+39320002158;108,77
+39320002160;188,92
+39320002162;143,38
+39320002164;213,61
+39320002166;35,33
+39320002168;185,79
+39320002170;7,77
+39320002172;35,83
+39320002174;90,14
+39320002176;176,67
+39320002178;50,32
+39320002180;98,56
+39320002182;54,40
+39320002184;14,68
+39320002186;187,38
+39320002188;194,25
+39320002190;61,63
+39320002192;149,37
+39320002194;64,66
+39320002196;234,46
+39320002198;139,20
+39320002200;38,82
+39320002202;106,84
+39320002204;147,88
+39320002206;142,48
+39320002208;65,64
+39320002210;151,12
+39320002212;177,81
+39320002214;210,68
+39320002216;218,96
+39320002218;112,16
+39320002220;181,41
+39320002222;177,41
+39320002224;170,26
+39320002226;200,26
+39320002228;182,34
+39320002230;57,15
+39320002232;232,94
+39320002234;225,56
+39320002236;53,32
+39320002238;98,53
+39320002240;228,56
+39320002242;96,87
+39320002244;102,16
+39320002246;177,62
+39320002248;69,19
+39320002250;69,54
+39320002252;84,09
+39320002254;24,82
+39320002256;138,11
+39320002258;126,16
+39320002260;241,21
+39320002262;1,64
+39320002264;176,84
+39320002266;132,97
+39320002268;40,48
+39320002270;193,74
+39320002272;169,79
+39320002274;146,92
+39320002276;198,29
+39320002278;244,33
+39320002280;110,59
+39320002282;122,59
+39320002284;45,64
+39320002286;52,55
+39320002288;66,25
+39320002290;204,98
+39320002292;48,38
+39320002294;178,86
+39320002296;240,85
+39320002298;104,56
+39320002300;46,78
+39320002302;29,92
+39320002304;34,49
+39320002306;122,43
+39320002308;16,93
+39320002310;223,51
+39320002312;62,85
+39320002314;130,48
+39320002316;166,62
+39320002318;242,81
+39320002320;54,14
+39320002322;17,07
+39320002324;119,10
+39320002326;242,40
+39320002328;45,38
+39320002330;141,95
+39320002332;16,37
+39320002334;55,50
+39320002336;202,47
+39320002338;12,93
+39320002340;52,40
+39320002342;116,77
+39320002344;26,36
+39320002346;153,08
+39320002348;222,27
+39320002350;235,34
+39320002352;129,30
+39320002354;223,43
+39320002356;171,09
+39320002358;167,46
+39320002360;151,63
+39320002362;6,70
+39320002364;102,99
+39320002366;4,63
+39320002368;14,70
+39320002370;43,21
+39320002372;163,80
+39320002374;21,35
+39320002376;235,94
+39320002378;130,61
+39320002380;86,79
+39320002382;149,05
+39320002384;174,92
+39320002386;103,38
+39320002388;32,85
+39320002390;18,85
+39320002392;202,67
+39320002394;129,02
+39320002396;236,52
+39320002398;115,06
+39320002400;197,39
+39320002402;49,43
+39320002404;3,44
+39320002406;131,44
+39320002408;198,59
+39320002410;221,50
+39320002412;234,74
+39320002414;84,06
+39320002416;238,69
+39320002418;30,44
+39320002420;233,19
+39320002422;110,93
+39320002424;136,56
+39320002426;162,41
+39320002428;175,17
+39320002430;81,14
+39320002432;135,30
+39320002434;146,93
+39320002436;188,26
+39320002438;83,81
+39320002440;154,65
+39320002442;43,99
+39320002444;97,71
+39320002446;72,82
+39320002448;31,98
+39320002450;125,43
+39320002452;26,10
+39320002454;72,01
+39320002456;33,58
+39320002458;198,31
+39320002460;162,83
+39320002462;191,36
+39320002464;228,33
+39320002466;238,61
+39320002468;226,67
+39320002470;26,51
+39320002472;65,20
+39320002474;232,27
+39320002476;217,45
+39320002478;226,06
+39320002480;106,44
+39320002482;188,04
+39320002484;112,28
+39320002486;110,40
+39320002488;139,94
+39320002490;104,87
+39320002492;183,94
+39320002494;224,59
+39320002496;133,22
+39320002498;67,68
+39320002500;239,43
+39320002502;13,65
+39320002504;202,76
+39320002506;114,43
+39320002508;244,58
+39320002510;237,40
+39320002512;111,90
+39320002514;163,28
+39320002516;134,49
+39320002518;54,16
+39320002520;13,10
+39320002522;69,68
+39320002524;219,70
+39320002526;107,79
+39320002528;89,09
+39320002530;149,41
+39320002532;231,58
+39320002534;245,54
+39320002536;136,65
+39320002538;110,10
+39320002540;9,82
+39320002542;147,30
+39320002544;86,14
+39320002546;209,50
+39320002548;98,48
+39320002550;44,61
+39320002552;224,98
+39320002554;34,89
+39320002556;208,42
+39320002558;167,06
+39320002560;39,76
+39320002562;240,97
+39320002564;29,45
+39320002566;97,35
+39320002568;247,56
+39320002570;38,57
+39320002572;1,21
+39320002574;195,11
+39320002576;164,93
+39320002578;87,23
+39320002580;28,78
+39320002582;35,47
+39320002584;45,41
+39320002586;95,16
+39320002588;145,08
+39320002590;213,52
+39320002592;229,22
+39320002594;53,21
+39320002596;151,44
+39320002598;238,43
+39320002600;50,55
+39320002602;18,29
+39320002604;205,45
+39320002606;84,59
+39320002608;31,25
+39320002610;80,79
+39320002612;234,05
+39320002614;154,13
+39320002616;150,52
+39320002618;216,44
+39320002620;204,09
+39320002622;184,09
+39320002624;106,55
+39320002626;124,68
+39320002628;24,83
+39320002630;196,79
+39320002632;217,97
+39320002634;248,22
+39320002636;183,31
+39320002638;182,39
+39320002640;122,05
+39320002642;222,93
+39320002644;49,24
+39320002646;109,42
+39320002648;182,05
+39320002650;59,59
+39320002652;114,61
+39320002654;218,75
+39320002656;223,01
+39320002658;122,45
+39320002660;208,11
+39320002662;63,74
+39320002664;208,34
+39320002666;107,27
+39320002668;37,31
+39320002670;181,11
+39320002672;16,77
+39320002674;122,26
+39320002676;220,59
+39320002678;15,88
+39320002680;181,45
+39320002682;125,78
+39320002684;43,28
+39320002686;177,20
+39320002688;142,99
+39320002690;158,25
+39320002692;51,24
+39320002694;144,06
+39320002696;208,62
+39320002698;224,26
+39320002700;30,67
+39320002702;196,37
+39320002704;115,26
+39320002706;52,91
+39320002708;165,45
+39320002710;72,37
+39320002712;237,02
+39320002714;230,75
+39320002716;104,98
+39320002718;17,77
+39320002720;66,48
+39320002722;162,48
+39320002724;97,65
+39320002726;78,91
+39320002728;147,27
+39320002730;144,18
+39320002732;100,47
+39320002734;92,65
+39320002736;100,17
+39320002738;236,53
+39320002740;233,05
+39320002742;179,89
+39320002744;100,22
+39320002746;120,16
+39320002748;11,72
+39320002750;31,43
+39320002752;167,80
+39320002754;212,47
+39320002756;146,53
+39320002758;82,38
+39320002760;231,64
+39320002762;122,75
+39320002764;71,88
+39320002766;134,32
+39320002768;132,30
+39320002770;139,58
+39320002772;249,02
+39320002774;90,15
+39320002776;35,44
+39320002778;107,78
+39320002780;174,96
+39320002782;173,09
+39320002784;222,60
+39320002786;148,73
+39320002788;116,85
+39320002790;58,04
+39320002792;107,95
