numeroTelefono;dataAttivazione;tipoContratto;statoContratto
39320000169;31/05/2021;CONSUMO;ATTIVO
39320000170;03/11/2023;RICARICA;ATTIVO
39320000171;16/12/2022;CONSUMO;ATTIVO
39320000172;06/12/2025;RICARICA;ATTIVO
39320000173;07/08/2022;CONSUMO;ATTIVO
39320000174;04/09/2025;RICARICA;ATTIVO
39320000175;12/09/2022;CONSUMO;ATTIVO
39320000176;11/07/2025;RICARICA;ATTIVO
39320000177;17/01/2021;CONSUMO;ATTIVO
39320000178;10/02/2024;RICARICA;ATTIVO
39320000179;20/09/2024;CONSUMO;ATTIVO
39320000180;04/12/2025;RICARICA;ATTIVO
39320000181;25/08/2021;CONSUMO;ATTIVO
39320000182;01/03/2025;RICARICA;ATTIVO
39320000183;12/07/2022;CONSUMO;ATTIVO
39320000184;08/03/2022;RICARICA;ATTIVO
39320000185;21/02/2022;CONSUMO;ATTIVO
39320000186;13/10/2025;RICARICA;ATTIVO
39320000187;28/09/2023;CONSUMO;ATTIVO
39320000188;03/02/2026;RICARICA;ATTIVO
39320000189;09/07/2021;CONSUMO;ATTIVO
39320000190;26/08/2025;RICARICA;ATTIVO
39320000191;08/01/2021;CONSUMO;ATTIVO
39320000192;25/09/2021;RICARICA;ATTIVO
39320000193;21/06/2022;CONSUMO;ATTIVO
39320000194;24/06/2023;RICARICA;ATTIVO
39320000195;26/05/2023;CONSUMO;ATTIVO
39320000196;18/08/2021;RICARICA;ATTIVO
39320000197;14/12/2025;CONSUMO;ATTIVO
39320000198;02/11/2021;RICARICA;ATTIVO
39320000199;06/09/2025;CONSUMO;ATTIVO
39320000200;06/02/2024;RICARICA;ATTIVO
39320000201;19/09/2021;CONSUMO;ATTIVO
39320000202;17/01/2023;RICARICA;ATTIVO
39320000203;19/06/2025;CONSUMO;SOSPESO
39320000204;23/03/2021;RICARICA;ATTIVO
39320000205;07/03/2022;CONSUMO;ATTIVO
39320000206;27/09/2024;RICARICA;ATTIVO
39320000207;17/05/2025;CONSUMO;ATTIVO
39320000208;27/11/2025;RICARICA;ATTIVO
39320000209;25/06/2024;CONSUMO;ATTIVO
39320000210;11/03/2026;RICARICA;SOSPESO
39320000211;06/11/2025;CONSUMO;ATTIVO
39320000212;27/06/2025;RICARICA;ATTIVO
39320000213;11/12/2025;CONSUMO;ATTIVO
39320000214;03/01/2022;RICARICA;ATTIVO
39320000215;12/11/2022;CONSUMO;ATTIVO
39320000216;24/04/2023;RICARICA;ATTIVO
39320000217;05/11/2025;CONSUMO;ATTIVO
39320000218;24/05/2022;RICARICA;ATTIVO
39320000219;01/06/2025;CONSUMO;ATTIVO
39320000220;23/02/2023;RICARICA;ATTIVO
39320000221;25/10/2025;CONSUMO;ATTIVO
39320000222;13/02/2022;RICARICA;ATTIVO
39320000223;01/08/2023;CONSUMO;ATTIVO
39320000224;08/08/2025;RICARICA;ATTIVO
39320000225;12/04/2022;CONSUMO;ATTIVO
39320000226;13/09/2024;RICARICA;ATTIVO
39320000227;04/11/2022;CONSUMO;ATTIVO
39320000228;23/05/2021;RICARICA;SOSPESO
39320000229;26/07/2022;CONSUMO;ATTIVO
39320000230;10/11/2023;RICARICA;ATTIVO
39320000231;24/09/2025;CONSUMO;ATTIVO
39320000232;26/02/2021;RICARICA;ATTIVO
39320000233;19/06/2022;CONSUMO;ATTIVO
39320000234;28/06/2022;RICARICA;ATTIVO
39320000235;06/05/2024;CONSUMO;ATTIVO
39320000236;01/02/2025;RICARICA;ATTIVO
39320000237;13/06/2023;CONSUMO;ATTIVO
39320000238;14/11/2023;RICARICA;ATTIVO
39320000239;17/01/2026;CONSUMO;ATTIVO
39320000240;06/06/2022;RICARICA;ATTIVO
39320000241;13/06/2023;CONSUMO;ATTIVO
39320000242;11/03/2026;RICARICA;ATTIVO
39320000243;07/11/2024;CONSUMO;ATTIVO
39320000244;28/02/2025;RICARICA;ATTIVO
39320000245;08/02/2022;CONSUMO;ATTIVO
39320000246;24/05/2021;RICARICA;SOSPESO
39320000247;01/03/2026;CONSUMO;ATTIVO
39320000248;05/10/2022;RICARICA;ATTIVO
39320000249;13/09/2021;CONSUMO;ATTIVO
39320000250;08/09/2022;RICARICA;ATTIVO
39320000251;27/09/2024;CONSUMO;ATTIVO
39320000252;05/04/2023;RICARICA;ATTIVO
39320000253;10/02/2024;CONSUMO;ATTIVO
39320000254;12/05/2023;RICARICA;ATTIVO
39320000255;16/02/2023;CONSUMO;ATTIVO
39320000256;23/01/2026;RICARICA;ATTIVO
39320000257;11/03/2024;CONSUMO;ATTIVO
39320000258;28/01/2024;RICARICA;ATTIVO
39320000259;15/09/2022;CONSUMO;ATTIVO
39320000260;31/05/2023;RICARICA;ATTIVO
39320000261;27/05/2024;CONSUMO;ATTIVO
39320000262;11/08/2023;RICARICA;ATTIVO
39320000263;15/10/2024;CONSUMO;ATTIVO
39320000264;28/08/2023;RICARICA;ATTIVO
39320000265;19/06/2025;CONSUMO;ATTIVO
39320000266;11/09/2024;RICARICA;ATTIVO
39320000267;22/11/2023;CONSUMO;ATTIVO
39320000268;22/06/2024;RICARICA;ATTIVO
39320000269;04/08/2025;CONSUMO;SOSPESO
39320000270;27/04/2022;RICARICA;ATTIVO
39320000271;06/04/2022;CONSUMO;ATTIVO
39320000272;29/10/2021;RICARICA;ATTIVO
39320000273;17/05/2022;CONSUMO;SOSPESO
39320000274;05/06/2024;RICARICA;ATTIVO
39320000275;30/05/2021;CONSUMO;ATTIVO
39320000276;20/12/2025;RICARICA;ATTIVO
39320000277;03/02/2022;CONSUMO;ATTIVO
39320000278;26/02/2023;RICARICA;ATTIVO
39320000279;15/05/2022;CONSUMO;ATTIVO
39320000280;09/11/2024;RICARICA;ATTIVO
39320000281;18/03/2025;CONSUMO;ATTIVO
39320000282;19/12/2025;RICARICA;ATTIVO
39320000283;21/05/2023;CONSUMO;ATTIVO
39320000284;05/07/2025;RICARICA;SOSPESO
39320000285;27/11/2023;CONSUMO;ATTIVO
39320000286;16/02/2024;RICARICA;ATTIVO
39320000287;04/10/2025;CONSUMO;ATTIVO
39320000288;01/10/2021;RICARICA;ATTIVO
39320000289;29/09/2024;CONSUMO;ATTIVO
39320000290;19/02/2024;RICARICA;ATTIVO
39320000291;27/03/2025;CONSUMO;ATTIVO
39320000292;08/06/2024;RICARICA;ATTIVO
39320000293;01/01/2026;CONSUMO;ATTIVO
39320000294;29/08/2025;RICARICA;ATTIVO
39320000295;03/07/2023;CONSUMO;ATTIVO
39320000296;04/03/2025;RICARICA;ATTIVO
39320000297;11/07/2023;CONSUMO;ATTIVO
39320000298;22/05/2022;RICARICA;ATTIVO
39320000299;22/07/2022;CONSUMO;ATTIVO
39320000300;04/12/2023;RICARICA;ATTIVO
39320000301;05/05/2022;CONSUMO;ATTIVO
39320000302;08/06/2021;RICARICA;ATTIVO
39320000303;26/04/2022;CONSUMO;ATTIVO
39320000304;17/10/2022;RICARICA;ATTIVO
39320000305;15/06/2021;CONSUMO;ATTIVO
39320000306;19/04/2022;RICARICA;ATTIVO
39320000307;09/11/2021;CONSUMO;ATTIVO
39320000308;12/05/2021;RICARICA;ATTIVO
39320000309;09/11/2022;CONSUMO;ATTIVO
39320000310;02/05/2023;RICARICA;ATTIVO
39320000311;02/09/2025;CONSUMO;ATTIVO
39320000312;28/01/2026;RICARICA;ATTIVO
39320000313;25/11/2024;CONSUMO;ATTIVO
39320000314;09/12/2025;RICARICA;ATTIVO
39320000315;19/02/2023;CONSUMO;ATTIVO
39320000316;22/12/2022;RICARICA;ATTIVO
39320000317;10/03/2023;CONSUMO;ATTIVO
39320000318;08/09/2025;RICARICA;ATTIVO
39320000319;11/03/2025;CONSUMO;ATTIVO
39320000320;27/06/2025;RICARICA;ATTIVO
39320000321;28/03/2022;CONSUMO;ATTIVO
39320000322;13/07/2022;RICARICA;ATTIVO
39320000323;01/03/2021;CONSUMO;ATTIVO
39320000324;01/10/2024;RICARICA;ATTIVO
39320000325;09/04/2023;CONSUMO;ATTIVO
39320000326;18/09/2025;RICARICA;ATTIVO
39320000327;19/09/2021;CONSUMO;SOSPESO
39320000328;30/12/2023;RICARICA;ATTIVO
39320000329;18/03/2023;CONSUMO;ATTIVO
39320000330;19/09/2024;RICARICA;ATTIVO
39320000331;09/08/2024;CONSUMO;ATTIVO
39320000332;11/11/2025;RICARICA;ATTIVO
39320000333;13/04/2021;CONSUMO;ATTIVO
39320000334;02/11/2022;RICARICA;ATTIVO
39320000335;01/11/2022;CONSUMO;ATTIVO
39320000336;07/12/2025;RICARICA;ATTIVO
39320000337;21/03/2025;CONSUMO;SOSPESO
39320000338;14/05/2023;RICARICA;ATTIVO
39320000339;17/06/2021;CONSUMO;ATTIVO
39320000340;15/03/2025;RICARICA;ATTIVO
39320000341;18/12/2022;CONSUMO;ATTIVO
39320000342;21/05/2021;RICARICA;ATTIVO
39320000343;27/08/2024;CONSUMO;ATTIVO
39320000344;05/03/2021;RICARICA;SOSPESO
39320000345;13/02/2022;CONSUMO;ATTIVO
39320000346;26/06/2024;RICARICA;ATTIVO
39320000347;16/09/2021;CONSUMO;ATTIVO
39320000348;23/08/2021;RICARICA;ATTIVO
39320000349;23/03/2022;CONSUMO;ATTIVO
39320000350;09/06/2022;RICARICA;ATTIVO
39320000351;10/12/2021;CONSUMO;ATTIVO
39320000352;12/03/2025;RICARICA;ATTIVO
39320000353;12/05/2025;CONSUMO;ATTIVO
39320000354;30/09/2022;RICARICA;ATTIVO
39320000355;22/02/2021;CONSUMO;SOSPESO
39320000356;25/03/2024;RICARICA;ATTIVO
39320000357;08/02/2023;CONSUMO;ATTIVO
39320000358;04/01/2025;RICARICA;ATTIVO
39320000359;27/04/2024;CONSUMO;ATTIVO
39320000360;08/07/2024;RICARICA;ATTIVO
39320000361;28/11/2024;CONSUMO;ATTIVO
39320000362;08/10/2025;RICARICA;ATTIVO
39320000363;08/07/2025;CONSUMO;ATTIVO
39320000364;05/03/2024;RICARICA;ATTIVO
39320000365;13/12/2022;CONSUMO;ATTIVO
39320000366;16/09/2024;RICARICA;ATTIVO
39320000367;03/11/2023;CONSUMO;ATTIVO
39320000368;26/01/2021;RICARICA;ATTIVO
39320000369;12/08/2025;CONSUMO;ATTIVO
39320000370;07/06/2023;RICARICA;SOSPESO
39320000371;25/07/2024;CONSUMO;ATTIVO
39320000372;31/07/2023;RICARICA;ATTIVO
39320000373;11/06/2023;CONSUMO;ATTIVO
39320000374;05/12/2023;RICARICA;SOSPESO
39320000375;08/07/2022;CONSUMO;ATTIVO
39320000376;27/02/2026;RICARICA;ATTIVO
39320000377;18/09/2023;CONSUMO;ATTIVO
39320000378;19/08/2025;RICARICA;ATTIVO
39320000379;04/07/2022;CONSUMO;ATTIVO
39320000380;18/05/2022;RICARICA;ATTIVO
39320000381;27/06/2021;CONSUMO;ATTIVO
39320000382;13/07/2023;RICARICA;ATTIVO
39320000383;10/08/2023;CONSUMO;ATTIVO
39320000384;30/09/2024;RICARICA;ATTIVO
39320000385;28/02/2021;CONSUMO;ATTIVO
39320000386;28/10/2022;RICARICA;ATTIVO
39320000387;11/03/2022;CONSUMO;ATTIVO
39320000388;14/06/2022;RICARICA;ATTIVO
39320000389;08/12/2025;CONSUMO;ATTIVO
39320000390;08/12/2025;RICARICA;ATTIVO
39320000391;21/01/2021;CONSUMO;ATTIVO
39320000392;27/01/2022;RICARICA;ATTIVO
39320000393;14/01/2025;CONSUMO;ATTIVO
39320000394;12/02/2024;RICARICA;ATTIVO
39320000395;15/11/2024;CONSUMO;ATTIVO
39320000396;28/12/2024;RICARICA;ATTIVO
39320000397;12/06/2025;CONSUMO;ATTIVO
39320000398;26/08/2022;RICARICA;ATTIVO
39320000399;17/11/2024;CONSUMO;ATTIVO
39320000400;21/09/2024;RICARICA;ATTIVO
39320000401;28/08/2023;CONSUMO;ATTIVO
39320000402;06/12/2022;RICARICA;ATTIVO
39320000403;08/03/2025;CONSUMO;ATTIVO
39320000404;22/12/2022;RICARICA;ATTIVO
39320000405;09/07/2022;CONSUMO;ATTIVO
39320000406;18/04/2022;RICARICA;ATTIVO
39320000407;30/01/2022;CONSUMO;ATTIVO
39320000408;02/03/2025;RICARICA;ATTIVO
39320000409;10/04/2025;CONSUMO;ATTIVO
39320000410;28/01/2022;RICARICA;ATTIVO
39320000411;19/09/2023;CONSUMO;ATTIVO
39320000412;22/04/2024;RICARICA;SOSPESO
39320000413;11/12/2023;CONSUMO;ATTIVO
39320000414;25/07/2021;RICARICA;ATTIVO
39320000415;30/08/2022;CONSUMO;ATTIVO
39320000416;03/01/2022;RICARICA;ATTIVO
39320000417;21/12/2024;CONSUMO;ATTIVO
39320000418;16/07/2022;RICARICA;ATTIVO
39320000419;22/04/2021;CONSUMO;ATTIVO
39320000420;29/11/2024;RICARICA;SOSPESO
39320000421;30/07/2024;CONSUMO;ATTIVO
39320000422;03/10/2023;RICARICA;ATTIVO
39320000423;26/01/2021;CONSUMO;ATTIVO
39320000424;20/08/2023;RICARICA;ATTIVO
39320000425;29/11/2022;CONSUMO;ATTIVO
39320000426;16/04/2021;RICARICA;ATTIVO
39320000427;31/10/2025;CONSUMO;ATTIVO
39320000428;11/08/2025;RICARICA;ATTIVO
39320000429;05/10/2023;CONSUMO;ATTIVO
39320000430;13/07/2024;RICARICA;ATTIVO
39320000431;07/11/2021;CONSUMO;ATTIVO
39320000432;27/02/2024;RICARICA;SOSPESO
39320000433;24/06/2021;CONSUMO;SOSPESO
39320000434;31/08/2021;RICARICA;ATTIVO
39320000435;03/05/2023;CONSUMO;ATTIVO
39320000436;08/06/2025;RICARICA;ATTIVO
39320000437;08/05/2025;CONSUMO;ATTIVO
39320000438;12/07/2023;RICARICA;ATTIVO
39320000439;01/09/2022;CONSUMO;ATTIVO
39320000440;29/05/2023;RICARICA;ATTIVO
39320000441;25/06/2024;CONSUMO;ATTIVO
39320000442;24/02/2025;RICARICA;ATTIVO
39320000443;12/04/2025;CONSUMO;ATTIVO
39320000444;09/03/2022;RICARICA;ATTIVO
39320000445;16/06/2021;CONSUMO;ATTIVO
39320000446;22/12/2021;RICARICA;ATTIVO
39320000447;17/11/2021;CONSUMO;ATTIVO
39320000448;12/07/2023;RICARICA;ATTIVO
39320000449;21/08/2023;CONSUMO;ATTIVO
39320000450;20/04/2022;RICARICA;ATTIVO
39320000451;03/08/2022;CONSUMO;ATTIVO
39320000452;19/07/2023;RICARICA;ATTIVO
39320000453;24/04/2022;CONSUMO;SOSPESO
39320000454;02/06/2025;RICARICA;ATTIVO
39320000455;22/04/2024;CONSUMO;ATTIVO
39320000456;10/02/2022;RICARICA;ATTIVO
39320000457;21/01/2024;CONSUMO;ATTIVO
39320000458;02/11/2021;RICARICA;ATTIVO
39320000459;20/08/2025;CONSUMO;ATTIVO
39320000460;03/05/2021;RICARICA;ATTIVO
39320000461;22/09/2022;CONSUMO;ATTIVO
39320000462;16/08/2025;RICARICA;ATTIVO
39320000463;15/08/2022;CONSUMO;ATTIVO
39320000464;18/08/2023;RICARICA;ATTIVO
39320000465;04/12/2024;CONSUMO;ATTIVO
39320000466;12/07/2022;RICARICA;ATTIVO
39320000467;09/10/2023;CONSUMO;ATTIVO
39320000468;09/05/2024;RICARICA;ATTIVO
39320000469;04/06/2023;CONSUMO;ATTIVO
39320000470;21/05/2024;RICARICA;ATTIVO
39320000471;07/07/2021;CONSUMO;ATTIVO
39320000472;12/10/2024;RICARICA;ATTIVO
39320000473;24/03/2024;CONSUMO;ATTIVO
39320000474;12/02/2021;RICARICA;SOSPESO
39320000475;08/10/2024;CONSUMO;ATTIVO
39320000476;26/03/2024;RICARICA;ATTIVO
39320000477;29/03/2025;CONSUMO;ATTIVO
39320000478;29/11/2023;RICARICA;ATTIVO
39320000479;20/02/2026;CONSUMO;ATTIVO
39320000480;13/04/2024;RICARICA;ATTIVO
39320000481;26/07/2025;CONSUMO;ATTIVO
39320000482;06/07/2021;RICARICA;ATTIVO
39320000483;17/04/2023;CONSUMO;ATTIVO
39320000484;04/10/2024;RICARICA;ATTIVO
39320000485;26/11/2021;CONSUMO;ATTIVO
39320000486;21/11/2024;RICARICA;ATTIVO
39320000487;18/09/2024;CONSUMO;SOSPESO
39320000488;25/07/2025;RICARICA;ATTIVO
39320000489;17/03/2021;CONSUMO;ATTIVO
39320000490;07/10/2022;RICARICA;ATTIVO
39320000491;26/08/2021;CONSUMO;SOSPESO
39320000492;08/04/2023;RICARICA;ATTIVO
39320000493;17/08/2025;CONSUMO;SOSPESO
39320000494;08/09/2024;RICARICA;ATTIVO
39320000495;05/08/2023;CONSUMO;ATTIVO
39320000496;20/01/2022;RICARICA;ATTIVO
39320000497;29/06/2024;CONSUMO;ATTIVO
39320000498;04/07/2024;RICARICA;ATTIVO
39320000499;16/04/2021;CONSUMO;ATTIVO
39320000500;30/01/2024;RICARICA;ATTIVO
39320000501;13/08/2022;CONSUMO;ATTIVO
39320000502;01/12/2024;RICARICA;ATTIVO
39320000503;01/03/2021;CONSUMO;SOSPESO
39320000504;31/05/2024;RICARICA;ATTIVO
39320000505;24/12/2024;CONSUMO;ATTIVO
39320000506;03/02/2024;RICARICA;ATTIVO
39320000507;16/04/2023;CONSUMO;ATTIVO
39320000508;20/09/2025;RICARICA;ATTIVO
39320000509;04/08/2023;CONSUMO;SOSPESO
39320000510;19/08/2024;RICARICA;ATTIVO
39320000511;18/10/2023;CONSUMO;SOSPESO
39320000512;21/08/2022;RICARICA;ATTIVO
39320000513;14/07/2022;CONSUMO;ATTIVO
39320000514;16/09/2023;RICARICA;SOSPESO
39320000515;15/05/2022;CONSUMO;ATTIVO
39320000516;24/10/2021;RICARICA;ATTIVO
39320000517;03/03/2026;CONSUMO;ATTIVO
39320000518;09/03/2025;RICARICA;ATTIVO
39320000519;05/11/2025;CONSUMO;ATTIVO
39320000520;02/05/2025;RICARICA;ATTIVO
39320000521;30/04/2023;CONSUMO;ATTIVO
39320000522;02/06/2025;RICARICA;ATTIVO
39320000523;08/08/2025;CONSUMO;ATTIVO
39320000524;26/01/2025;RICARICA;ATTIVO
39320000525;17/04/2024;CONSUMO;ATTIVO
39320000526;13/09/2024;RICARICA;ATTIVO
39320000527;01/11/2021;CONSUMO;ATTIVO
39320000528;19/09/2023;RICARICA;ATTIVO
39320000529;05/02/2024;CONSUMO;ATTIVO
39320000530;12/02/2023;RICARICA;ATTIVO
39320000531;22/10/2022;CONSUMO;ATTIVO
39320000532;29/11/2024;RICARICA;ATTIVO
39320000533;24/02/2023;CONSUMO;ATTIVO
39320000534;08/05/2025;RICARICA;ATTIVO
39320000535;14/10/2022;CONSUMO;ATTIVO
39320000536;15/12/2024;RICARICA;ATTIVO
39320000537;20/02/2023;CONSUMO;ATTIVO
39320000538;21/09/2024;RICARICA;ATTIVO
39320000539;28/08/2024;CONSUMO;SOSPESO
39320000540;12/10/2023;RICARICA;SOSPESO
39320000541;16/09/2021;CONSUMO;ATTIVO
39320000542;23/04/2024;RICARICA;ATTIVO
39320000543;25/07/2021;CONSUMO;ATTIVO
39320000544;21/06/2023;RICARICA;ATTIVO
39320000545;08/02/2026;CONSUMO;ATTIVO
39320000546;19/01/2025;RICARICA;ATTIVO
